 TEXTURE FOR PHASE  1  AT VM STRAIN     0.500
   68.49   63.41   46.05        0.0000226
   30.88   48.58   69.23        0.0000249
  138.67   72.75   18.76        0.0001765
   -5.56   44.78   28.42        0.0000402
  -45.41   79.90    9.72        0.0000562
  -83.56   62.79  100.22        0.0002209
  140.99   41.98   32.76        0.0000207
   -1.07   66.23   51.88        0.0000280
   32.42   27.48   32.60        0.0003615
 -175.59   26.08   45.45        0.0000053
  -47.24   53.10   37.78        0.0000079
   70.58   38.04   26.82        0.0000750
   80.20   70.54   60.71        0.0000167
  153.76   65.48   94.30        0.0000959
  177.88   47.68   56.97        0.0001648
  -67.11   77.28   17.81        0.0000142
 -112.22   30.65   25.99        0.0000422
   22.89   69.33   80.60        0.0000308
    2.84   13.02   63.21        0.0000270
  131.37   96.41   78.86        0.0001095
  -54.56   53.46   37.00        0.0003225
 -124.07   77.35   21.57        0.0004778
 -118.72   36.45   38.41        0.0001970
 -157.49   69.39   70.20        0.0000129
   51.84   70.10   69.68        0.0000105
   71.48   68.97   53.16        0.0000255
   80.28   58.56   19.46        0.0000248
   63.50   82.52   83.97        0.0000262
  -59.53   55.79   37.92        0.0005059
  -18.63    6.44  -10.65        0.0000336
   92.02   41.54   83.24        0.0000864
 -175.90   27.99   30.20        0.0000397
  -27.86   86.66   88.02        0.0000761
    3.19    1.93  107.29        0.0000387
 -141.04   59.75   71.60        0.0002174
  -40.03   82.44    5.60        0.0001460
   94.89   22.23    7.88        0.0002704
  -40.69   62.22   25.63        0.0000075
    1.56   25.66   51.80        0.0000113
  131.46   78.84   12.47        0.0000512
  -19.15   79.79    4.94        0.0000425
  -26.50   61.98   98.90        0.0000776
 -138.27   65.73   64.20        0.0000273
   66.46   86.36   31.26        0.0002419
 -102.30   67.34   69.19        0.0001825
 -173.52   49.55   15.32        0.0000356
   55.16   67.15   66.35        0.0000327
   -9.17   32.69   46.60        0.0000491
  129.70   40.96   45.90        0.0000113
 -127.91   79.15   77.13        0.0000206
   -0.02   49.27   24.02        0.0000521
  137.96   82.89   94.78        0.0000385
  171.45    6.08   36.64        0.0000191
  -11.29   15.54   35.66        0.0000479
  142.69   47.64   28.21        0.0000187
 -123.07   50.55    9.91        0.0003068
   48.97   77.82   80.75        0.0000593
  151.76   48.72   30.56        0.0000167
   78.06   60.33   21.10        0.0000658
 -112.09   92.38   16.29        0.0000617
    0.37   70.84   31.28        0.0000602
  -67.28   54.84   58.67        0.0001137
   80.69   35.99   18.06        0.0002030
 -138.85   42.24   65.13        0.0001700
   45.34   80.15   81.10        0.0000173
   -5.38   32.62   36.16        0.0000242
  -85.59   71.09    9.78        0.0000180
   18.65   79.05   74.66        0.0000268
 -108.76   72.85   24.06        0.0002185
   -6.70   45.54   32.26        0.0000245
  170.17   44.19   21.29        0.0000215
    7.55   55.12   62.02        0.0000091
  -46.89   31.25   44.48        0.0000338
  115.65   35.94   52.54        0.0002293
    5.57   71.68   14.33        0.0000388
   20.85   41.97   50.71        0.0002874
 -144.19   33.24   43.42        0.0000091
  116.31   69.27   30.66        0.0000209
  178.23   66.50   52.15        0.0001702
   99.95   46.72   73.03        0.0000331
   55.18   48.68   46.28        0.0000163
   78.45    4.36   80.75        0.0000331
   10.59   39.39   56.51        0.0000087
   13.60   62.00   30.15        0.0005672
  135.28   43.68    2.65        0.0003054
 -173.42   47.88   25.40        0.0000999
 -167.54    5.38   51.91        0.0000378
  -85.88   68.69   76.78        0.0000268
   66.90   93.39   19.77        0.0000450
  -17.43   31.66   -4.86        0.0000803
  -46.00   59.91   29.71        0.0000110
    5.26   36.19   58.91        0.0000088
  -76.97   61.04   52.90        0.0000834
  -47.82   79.85   14.04        0.0000513
   60.17   40.39   40.38        0.0001143
  158.69   59.27   16.54        0.0000187
   48.87   40.76   54.86        0.0001459
   78.59   62.39    5.22        0.0002609
 -167.43   76.13   14.07        0.0001187
 -153.37   85.17    5.69        0.0002879
 -121.38   24.15   25.00        0.0000296
 -108.01   64.57   42.37        0.0000099
    3.57   62.24   63.56        0.0000137
  -44.15   84.83    4.62        0.0000904
 -151.37   88.07   84.99        0.0000218
  128.49   68.62   22.99        0.0000059
   96.51   62.86   55.51        0.0000095
  -30.20   40.28   38.99        0.0000081
 -144.24   37.05   79.31        0.0002575
 -142.64   91.07   34.37        0.0003524
   13.91   72.78   78.15        0.0000308
   -3.92   82.78   57.72        0.0000996
