 TEXTURE FOR PHASE  1  AT VM STRAIN     0.500
  -64.14   62.17   52.63        0.0002058
 -165.48   56.86   67.25        0.0000326
  128.05   70.14   21.67        0.0000072
   24.76   17.39   31.89        0.0003932
  -36.43   89.87   86.34        0.0003884
  -83.27   60.61   84.77        0.0000782
  -51.88   91.59   85.26        0.0003079
   21.12   86.24   -0.98        0.0000352
  142.19   76.08   89.85        0.0004332
  -29.60   46.32   37.06        0.0000106
 -146.44   51.82   50.04        0.0001378
   -4.51   90.74   72.96        0.0000311
   25.06   82.69   84.19        0.0000188
  -46.07   92.21   85.79        0.0003617
  -32.41   44.68   12.66        0.0001960
  178.16   49.87   41.20        0.0000270
 -108.86   81.55   42.71        0.0000532
  -14.29   41.60   81.98        0.0000636
  -40.42   78.74   97.42        0.0003414
  165.94   11.56  -30.77        0.0004872
  -16.04    1.09  -23.95        0.0000399
  176.21   70.03   32.66        0.0000251
 -112.47   73.49   66.18        0.0000099
  -16.74    9.87   46.21        0.0000237
   58.05   80.40   83.64        0.0000268
   -5.37   76.18   31.94        0.0000205
  107.84   61.76   56.17        0.0000815
  159.22   70.77   94.75        0.0000279
   71.42   41.88   22.60        0.0000261
   88.94   71.80   22.83        0.0000367
  -72.74   28.95   74.95        0.0000246
   75.11   73.04   74.51        0.0000159
   24.57   39.11   58.24        0.0000086
  120.36   72.85   29.57        0.0001424
  177.83   31.37   55.84        0.0001468
 -116.07   81.67   80.29        0.0000220
   57.52   75.59   68.17        0.0001000
 -106.25   66.52   18.11        0.0002869
   77.30   17.66   88.58        0.0001265
 -155.95   67.78   75.54        0.0000446
  -54.11   55.56   41.87        0.0000338
  148.90   78.06   91.07        0.0001557
 -125.15   59.38   57.35        0.0002337
  170.44   17.22  -13.75        0.0000592
  -51.86   64.95   16.57        0.0003956
 -125.11   90.49    6.39        0.0004486
 -111.38   74.37   52.62        0.0000277
  -22.16   37.54   45.01        0.0000778
 -134.03   34.99   38.32        0.0000160
   75.93   83.00    9.47        0.0000365
 -176.20   84.07   26.06        0.0000464
 -115.95   91.94    4.75        0.0000392
   73.65   30.12   19.05        0.0000236
   95.65   63.73   57.56        0.0000086
  151.91   54.41   23.82        0.0000081
  -32.70   45.51   29.19        0.0000343
   74.12   93.35   40.64        0.0000295
  102.73   40.18   76.91        0.0000696
  -12.07   33.52   34.53        0.0000253
    1.71   11.85   40.67        0.0000948
  172.78   56.97   25.48        0.0000116
 -175.38   68.03   53.67        0.0000152
  -36.70   42.04   63.08        0.0002231
   34.10   82.37    9.50        0.0004622
 -178.38    9.06   47.09        0.0000454
   47.57   80.65   79.71        0.0000582
 -161.59    6.01   34.51        0.0000239
 -176.89    4.11   34.91        0.0000287
   27.01   85.38   86.94        0.0000206
  -60.87   78.98   94.11        0.0003638
  -19.19   52.61   28.55        0.0000108
 -123.87   44.24   43.52        0.0000893
   87.24   60.81    6.15        0.0000216
   70.16   53.91   26.26        0.0003109
  176.44   78.20   38.18        0.0000783
 -122.46   82.56   83.21        0.0000674
  179.25   24.85   46.65        0.0000357
  126.02   89.55   85.25        0.0001003
  -72.27   68.73   46.14        0.0000167
  -14.63   83.95   16.97        0.0000301
 -111.94   32.17   26.28        0.0000482
  126.24   55.64   39.36        0.0000478
  -21.23    8.47  -16.46        0.0001580
   14.63   47.28   46.94        0.0006265
  -14.98   80.85   71.33        0.0003968
  125.24   83.34   10.57        0.0001455
  112.23   26.58  -16.50        0.0000557
   31.27   46.59   47.23        0.0005906
 -105.73   64.99   54.93        0.0002853
 -152.16   19.43   32.51        0.0000811
  -28.09   21.94   51.50        0.0000199
  178.25   53.18   45.92        0.0001440
 -176.67   37.56   17.46        0.0000321
    0.17   19.79   50.78        0.0000142
  -26.71   55.95   22.54        0.0000320
 -135.27   89.80    0.35        0.0001155
   11.49   70.62   53.76        0.0003621
 -128.85   93.61    6.08        0.0002154
  175.80   16.51   31.91        0.0000192
   -1.64   70.57   45.38        0.0000251
 -109.00   65.90   61.25        0.0003566
  -59.36   84.53    2.25        0.0001009
  116.11   94.13   73.21        0.0000496
 -119.86   82.04   84.56        0.0000933
  132.69   71.48   16.14        0.0000387
  -80.27   68.73   55.41        0.0000158
   88.29   71.42   80.69        0.0000436
 -101.93   69.48   16.92        0.0000649
   65.78   32.74   21.73        0.0000587
  179.47   66.92   38.80        0.0000169
 -178.84   86.96   35.97        0.0000261
   -2.29   50.69   46.68        0.0000238
  -71.18   64.86   49.20        0.0000156
  -59.01   90.06   85.72        0.0001018
  171.27   91.70   65.23        0.0000640
   46.73   78.79   79.44        0.0000143
   84.37   63.20   11.49        0.0000296
   -4.95   43.65   50.98        0.0000763
   36.67   81.57   80.53        0.0001174
 -155.37   77.29   80.83        0.0000483
  -44.60   79.03   10.50        0.0000497
 -123.89   59.68   55.72        0.0001607
  179.17   54.10   52.26        0.0001353
 -157.00   46.51   64.97        0.0000339
  -77.64   70.15   93.61        0.0001185
  179.20   54.39   44.85        0.0000425
  -88.06   39.89   88.19        0.0000172
  152.02   68.88   95.83        0.0000695
 -169.12   35.77   56.96        0.0000242
 -174.07   88.17   22.32        0.0000400
  147.33   31.25   53.25        0.0003967
  -22.38   17.11   53.24        0.0000395
 -129.40   78.39   12.71        0.0005941
   -2.81   81.96   51.58        0.0000793
    2.77   42.69   50.22        0.0000165
 -174.53   66.30   55.09        0.0000123
   93.70   52.95   88.38        0.0000667
 -152.19   48.27   79.95        0.0000795
    0.04   61.43   57.26        0.0000201
   30.65   40.74   58.58        0.0000132
 -178.35   57.09   42.02        0.0000294
   44.48   78.99   80.48        0.0000170
  128.85   82.02    9.30        0.0000521
   11.86   23.52   54.27        0.0000131
  -77.47   67.05   98.09        0.0002666
    6.96   91.07   29.78        0.0001347
 -125.90   50.00   47.58        0.0000424
  178.25   45.06   34.32        0.0000086
   31.88   78.79   -3.08        0.0000681
  142.77   36.54   37.61        0.0000141
  144.02   57.68   24.14        0.0000073
 -146.58   47.33   63.02        0.0000460
   -1.31   50.36   40.42        0.0000217
  -54.06   66.79   25.33        0.0001335
  -63.92   95.04   64.70        0.0002431
  -20.44   33.33   39.73        0.0000092
   46.61    0.55    0.00        0.0000634
  -82.44   68.80   47.36        0.0000071
  166.41   12.11   44.46        0.0000308
  -42.06   23.69   49.34        0.0000402
   66.77   31.18   39.35        0.0003798
    1.45   66.74   65.45        0.0000209
  -89.90   50.26   44.39        0.0007746
  -26.69   74.11   17.52        0.0000101
   -6.60   76.08   20.33        0.0000391
  -90.05   58.33   11.78        0.0001139
    4.28   81.55   14.11        0.0000401
 -128.73   89.02   89.19        0.0000665
  -61.78   73.90   40.17        0.0001477
 -177.19   60.60   46.52        0.0000251
 -102.12   71.62   82.08        0.0000580
  -32.02   78.23   12.13        0.0000114
  100.98   18.08   69.99        0.0000389
   54.95   42.06   39.49        0.0000314
  -48.75   76.53   23.90        0.0001300
  -69.90   90.37   64.16        0.0000838
  128.90   84.46   89.88        0.0002123
   47.50   90.79    2.34        0.0000305
 -114.17   70.59   51.11        0.0000277
   68.01   30.24   30.82        0.0001348
 -117.78   68.93   60.65        0.0000129
  -65.83   50.24   53.19        0.0001116
 -166.17   17.83   47.63        0.0000159
  -94.31   19.53    3.66        0.0000445
  -48.11   30.60   46.89        0.0000337
  177.49   25.65   48.45        0.0001164
   -2.70   35.02   69.06        0.0000280
   -0.87   62.38   29.70        0.0000532
  117.46   89.70   68.83        0.0002608
   21.89   46.18   66.20        0.0000170
  -16.06   28.55   38.07        0.0000204
 -124.64   61.35   53.76        0.0000110
  127.13   46.43   44.73        0.0000155
  137.27   84.28   94.02        0.0000289
 -177.95   70.79   64.89        0.0000318
 -173.78   29.87   37.26        0.0000564
 -120.38   58.67   44.20        0.0000783
 -177.67   35.11   18.37        0.0000325
    8.77   57.10   54.87        0.0001575
   -6.01   24.80   33.28        0.0000506
  -90.51   69.03   37.63        0.0000097
  179.34   74.03   24.17        0.0000254
   50.23   78.74   75.80        0.0001385
   -7.52   48.51   35.50        0.0000074
   40.39   68.33   68.73        0.0000789
    4.28   17.46   52.62        0.0000189
   53.98   77.25   73.06        0.0000812
  -95.54   16.98   83.15        0.0000433
  173.28   26.58   57.32        0.0003284
  -38.65   65.57   20.54        0.0000230
   77.78   60.30   37.78        0.0000201
  -39.44   48.12   34.31        0.0000192
    1.08   28.13   58.62        0.0000216
 -108.33   71.95   43.08        0.0000298
  153.21   56.03   16.14        0.0000213
   60.14   85.40    3.14        0.0000687
  177.38   65.49   38.06        0.0000385
  -31.05   66.03   22.66        0.0000060
   75.08   17.63   14.43        0.0000345
   28.14   87.32   85.14        0.0000322
 -157.03   90.83    8.98        0.0000925
   14.06   40.74   56.09        0.0000169
  -81.68   64.07   63.42        0.0000159
 -179.03   75.90   31.42        0.0000337
  -70.96   78.65   14.36        0.0000143
  168.52   25.71   -3.09        0.0000376
  -76.48   69.97   60.84        0.0000427
  -10.59   76.15   20.59        0.0000277
  -29.12   83.63   83.52        0.0005638
  146.33   67.97   25.64        0.0003780
 -173.99   41.35   50.20        0.0000050
 -129.58   46.48   52.96        0.0001809
  -12.16   54.67   28.83        0.0000125
 -111.80   21.11   17.73        0.0000404
  -13.00   47.19   36.86        0.0000127
  130.87   90.11   89.27        0.0000357
   15.70   66.41   70.81        0.0000116
   18.02   81.72    4.34        0.0000343
   29.89   22.89   43.81        0.0000230
 -120.49    1.27   74.39        0.0000328
  151.24   77.28   89.74        0.0001505
  131.33   72.12   19.94        0.0000391
  101.30   52.17   73.95        0.0000716
 -105.48   62.68   42.65        0.0000712
   90.34   60.67   89.95        0.0000210
  -22.19   88.20   88.47        0.0000350
   54.78   81.35    1.61        0.0002827
  -23.33   73.05   92.51        0.0000709
   26.71   63.21   71.14        0.0000098
  129.39   95.41   79.49        0.0001173
 -179.54   59.24   57.11        0.0000684
   69.75   75.19   73.32        0.0000159
   19.77    6.82  119.88        0.0003890
  153.91   75.90   90.39        0.0000714
   -6.22   51.33   36.36        0.0000069
  178.85   41.11   21.68        0.0000247
   -8.16   58.21   75.59        0.0000509
   61.65   50.27   39.39        0.0000249
  149.67   60.25   14.33        0.0000367
 -102.78   61.02   12.96        0.0002445
  -85.80   62.93   85.69        0.0000283
    4.86   44.55   56.77        0.0000077
    0.02   13.41   39.76        0.0000702
  -29.43   74.45    9.02        0.0000593
 -123.06   94.17    7.05        0.0000779
  132.12   74.47   20.35        0.0002786
  -81.33   30.62   81.41        0.0000197
    3.46   42.57   31.83        0.0001673
  125.97   51.93   58.05        0.0006240
  165.83   46.10   36.32        0.0001929
  121.44   36.81   48.59        0.0000978
  -67.75   69.07   34.74        0.0000070
  -93.34   54.11   -6.94        0.0002069
    4.01   59.00   31.17        0.0002498
  -74.56   63.35   40.48        0.0003165
   50.40   26.22   33.04        0.0000239
  -82.69   29.52   78.49        0.0000417
  136.14   78.18    9.35        0.0000380
 -105.86   67.27   40.77        0.0000144
   -8.39   43.35   40.99        0.0000255
  128.96   22.25   15.17        0.0004895
 -150.36   54.79   52.81        0.0001248
   96.39   68.15   57.09        0.0000314
   48.06   55.15   56.82        0.0000093
   73.44   37.52   22.62        0.0000516
  109.42   35.64   65.38        0.0000276
 -157.27   67.46   72.88        0.0000342
   97.42   66.06   12.55        0.0000336
  -89.52   70.68   60.11        0.0000136
   -3.25   48.77   24.10        0.0000417
   -1.58   14.12   56.79        0.0000229
    3.27   71.48   22.91        0.0000629
   80.03    6.63   67.07        0.0005824
   33.22   82.86   81.92        0.0000679
   31.77   22.38   41.52        0.0000299
 -128.84   15.35  106.93        0.0000559
   27.51   48.26   81.86        0.0000788
  -42.44    2.19   13.98        0.0000333
    3.26   70.94   24.72        0.0000792
  -29.97   26.97   11.98        0.0000812
 -170.39   31.70   51.71        0.0000085
   85.00   59.48   17.01        0.0000154
  -10.06   74.80   52.13        0.0002752
  157.99   68.38   20.90        0.0000365
  125.78   90.06   82.39        0.0002245
   34.96   50.18   54.45        0.0002025
   13.91   92.74   15.21        0.0000302
  -58.50   70.88   24.71        0.0000170
  -61.13    6.09   40.31        0.0000388
  175.08   71.51   75.47        0.0000315
   -9.06   44.35   61.91        0.0001529
  -61.23   86.18    7.12        0.0000202
   46.83   44.94   49.37        0.0000150
  -51.79   89.30   90.14        0.0000788
 -171.21   90.87   19.19        0.0000360
   82.42   73.93   -0.78        0.0000431
  126.14   83.24    5.79        0.0000165
 -171.03    9.00   42.71        0.0000205
 -131.22   65.51   62.34        0.0000090
   20.66   75.56   75.60        0.0000145
  145.74   63.80   17.22        0.0000212
 -114.28   80.43   24.69        0.0003732
  169.41   47.55   37.95        0.0002772
  -74.93   52.68   68.62        0.0000488
   26.67   53.08   75.85        0.0000331
 -152.40   51.44   71.47        0.0000382
  119.54   37.63   60.00        0.0000640
  -50.30   60.92   33.20        0.0000133
  -23.97   82.68    6.47        0.0000394
  134.67   55.66   31.94        0.0000095
 -123.65   73.64   68.40        0.0000102
  -98.23   55.09   32.87        0.0005161
   33.82   85.79    4.41        0.0002616
  120.64   58.30   41.80        0.0000443
   63.63   58.70   58.03        0.0001690
    0.32   58.76   55.32        0.0000151
  167.70   50.51   75.09        0.0001702
  106.36   71.34   17.45        0.0000123
  172.08   34.88   30.56        0.0000114
  179.92   82.90   62.01        0.0000258
  -29.33   18.08   56.90        0.0000613
  106.33   76.64    5.28        0.0000272
 -127.60   68.06   66.08        0.0000479
   86.24   19.75   68.56        0.0005116
 -144.45   52.18   57.82        0.0000070
  106.84   65.06   54.36        0.0000693
  137.63   11.99   18.74        0.0001796
 -123.42   59.28   52.74        0.0000223
   62.50   67.96   74.44        0.0001197
  -64.76   69.72   45.84        0.0001366
  133.78   81.09   96.73        0.0000473
  116.00  100.34   54.43        0.0001133
 -110.18   85.00   19.14        0.0001124
  -63.76   89.11   80.64        0.0001276
   -0.01   59.46   41.52        0.0000454
 -129.62   73.88   70.09        0.0000146
  -98.99   36.63   12.23        0.0000355
 -148.80   55.51   57.17        0.0000411
   26.33   63.02   68.44        0.0000169
  167.15   36.44   34.96        0.0000149
 -107.11   48.14   55.02        0.0006107
  167.05   84.82   78.02        0.0000392
 -175.70   21.04   41.36        0.0000142
   12.14   63.58   56.98        0.0003040
   14.23   73.80   67.81        0.0000432
  165.17   80.77   74.26        0.0001351
  -86.77   63.79   29.95        0.0002809
 -153.13   78.47   -0.62        0.0001490
 -104.73   69.28   47.09        0.0000100
 -118.59   79.65   77.40        0.0000224
  119.11   87.11   75.24        0.0003300
    5.38    2.20   40.79        0.0000750
  154.88   80.19   89.13        0.0000442
 -136.02   11.36   61.93        0.0000359
 -150.84   70.47   -8.51        0.0001058
  144.82   81.08   13.09        0.0003616
 -125.03   99.32   18.77        0.0004294
   -0.95   83.69   51.20        0.0000212
  177.73   92.63   55.29        0.0000238
  -64.17   54.79   54.11        0.0000898
 -109.74   86.66   21.54        0.0000873
  -11.34   62.25   76.31        0.0000924
  120.32   85.39   87.73        0.0000604
  150.26   56.99   24.54        0.0000074
   20.84   51.99   -0.38        0.0000661
  -49.21   60.84   24.08        0.0003536
  -82.69   33.49   -3.71        0.0000721
  121.91   36.96   58.40        0.0000660
  177.57   27.34   45.14        0.0000491
 -166.88   42.91   51.16        0.0000148
  149.04   81.91   87.30        0.0002390
   65.76   76.39   43.72        0.0002630
  112.35   45.10   58.92        0.0000170
  -40.38   78.24   11.52        0.0000158
  -76.84   79.47   65.53        0.0000452
  120.02   70.34   25.14        0.0000096
   91.34   32.44   81.67        0.0001907
 -108.12   73.20   59.47        0.0000094
  -80.68   75.69   22.24        0.0000245
  -78.22   44.67   69.42        0.0001774
 -154.41   12.75   97.38        0.0002488
 -176.87   78.78   23.59        0.0000413
   50.34   27.80   41.42        0.0000271
 -138.20   91.78    3.03        0.0002027
   -8.57    8.33  -24.52        0.0000290
   29.40   58.42   -8.24        0.0000928
 -104.50   73.81   63.92        0.0000110
 -113.82   71.69   64.24        0.0000138
  123.62   63.69   35.61        0.0001441
 -108.20   43.10   23.21        0.0000168
   65.59   69.71   32.90        0.0004971
  151.38   84.50   58.64        0.0003501
  179.45   43.65   58.70        0.0000868
  112.77   58.79   46.97        0.0000088
 -128.49   35.01   42.18        0.0000388
  162.29   70.74   92.78        0.0000277
   33.13   74.40   -8.36        0.0000362
 -112.35   85.01   44.80        0.0001166
   72.51    9.38   36.55        0.0000637
   38.86   83.80   81.18        0.0003191
  -29.30   30.66   -7.08        0.0003131
 -152.91   17.86   32.32        0.0000766
  -36.48   39.92   -5.05        0.0002948
 -105.90   82.83   56.88        0.0000240
  127.10   81.53    7.14        0.0000193
  168.67   27.06   37.47        0.0000142
 -116.43   78.03   -2.73        0.0003855
 -103.21   80.38   55.74        0.0000219
 -101.53   42.56   67.92        0.0004246
  -56.98   55.60   41.79        0.0000129
  176.82   37.88   63.31        0.0001058
   64.03   69.50   55.36        0.0000614
  -84.17   53.86   81.97        0.0000283
 -107.39   65.50   28.49        0.0001082
   15.47   33.84   45.78        0.0003311
   28.45   72.93   79.19        0.0000204
 -164.75    6.08  121.41        0.0000442
  157.74   30.11   42.89        0.0000955
   29.54   87.48    2.92        0.0000322
   -3.05   76.86   38.05        0.0000228
  -70.90   73.95   11.54        0.0000949
 -125.66   86.08   86.73        0.0000827
  -11.20   86.14   16.45        0.0000377
  101.52   21.09   65.37        0.0001969
 -154.90   82.22   82.73        0.0000400
   63.49   67.32    6.02        0.0003848
  118.69   72.44   21.81        0.0000105
 -131.50   68.97   65.12        0.0000205
  -78.87   73.07   28.21        0.0000114
   46.06   81.41   79.14        0.0002653
   -3.29   48.45   36.42        0.0000198
  176.24   14.70  -30.41        0.0001477
    0.92   52.65   43.08        0.0000793
 -157.51   75.05   71.60        0.0000137
  -79.13   57.52   59.58        0.0001684
    5.97   18.03   60.93        0.0000235
  175.83   47.65   62.93        0.0001502
  -44.28   67.95   22.43        0.0000052
   84.23   68.31   39.60        0.0000234
   11.18   91.16   17.08        0.0000332
  176.45   49.30   61.82        0.0001529
 -172.19   63.92   23.13        0.0001811
  -85.50   70.56   14.51        0.0000141
   14.86   80.46    0.91        0.0000365
 -177.12   68.72   51.11        0.0000119
  -96.42   36.02    9.78        0.0000461
 -126.10   47.71   53.98        0.0003739
 -174.26   87.50   18.90        0.0000314
   18.19    5.93   37.39        0.0000874
   47.93   58.23   60.66        0.0000152
 -151.86   80.21    6.42        0.0005749
  153.54   92.89   79.70        0.0000457
   51.95   60.22   48.39        0.0006538
  110.00   51.40   67.37        0.0003684
 -100.48   50.36   15.65        0.0000160
    7.22   18.74   58.77        0.0000206
  149.58   42.41   28.31        0.0000203
 -125.70   54.65   49.58        0.0000121
   98.95   68.20   13.81        0.0000199
  125.92   78.17   17.22        0.0001643
  176.34   75.68   45.68        0.0001837
   76.52   75.12   60.82        0.0000392
 -151.50   87.47   -0.49        0.0000343
    1.38   44.49   33.20        0.0001018
  166.30   54.88   29.87        0.0000368
   74.23   67.85   53.51        0.0000100
  -28.02   38.81   17.16        0.0000347
 -177.59   45.66   50.95        0.0000177
    1.38   42.38   27.56        0.0000677
   86.16   68.24   72.96        0.0000216
   67.39   58.79   68.00        0.0001831
  118.28   81.12    4.16        0.0000280
  130.09   80.70    8.04        0.0000204
   88.05   34.39    8.07        0.0001520
 -102.40   71.02   55.21        0.0000062
   11.89   20.84  109.82        0.0003713
  -21.65   64.71   77.18        0.0003864
 -123.84   71.87   70.56        0.0001190
  170.38   19.39   40.87        0.0000244
 -109.67   85.13   78.56        0.0000313
  -81.99   20.89   -0.99        0.0000356
   -5.80   42.11   26.47        0.0000374
 -140.17   42.53   49.23        0.0000086
  -24.90   73.66   22.71        0.0000648
 -178.74   58.11   50.09        0.0000211
  115.25   92.28   80.43        0.0000269
  -68.89   89.80   65.11        0.0001092
 -151.02   72.60   77.32        0.0000473
  -51.73   94.53   83.16        0.0001561
 -119.12   82.37   81.92        0.0000304
  -17.76   41.16   44.87        0.0001108
  177.25   83.96   38.17        0.0000546
   82.50   26.96   82.03        0.0003881
  148.08   58.84   23.73        0.0000073
  136.15   63.55   24.77        0.0000090
  -69.88   84.43   87.35        0.0000378
   30.98   73.32   73.47        0.0000730
   57.68   90.37    5.54        0.0000417
  -94.23   71.49   26.43        0.0000265
  -32.87   82.77   93.38        0.0001095
   37.15   66.41   74.22        0.0000228
  179.70   40.89   56.19        0.0000861
   47.74   74.41   74.91        0.0000084
   -3.62   36.40   43.73        0.0000062
   67.78   75.78   84.07        0.0000438
 -177.04   40.19   24.40        0.0000290
  137.73   65.73   82.21        0.0005446
 -116.10   67.55   63.17        0.0002225
   78.32   66.13   43.86        0.0000136
  129.21   10.73   72.98        0.0000768
   -2.62   67.82   50.37        0.0000794
    2.90   38.19   47.01        0.0000457
  158.64   87.33   86.47        0.0000392
  -54.00   54.62   43.57        0.0000609
 -142.60   34.96   68.13        0.0001007
   43.51   52.31   53.47        0.0001320
 -179.69   65.36   57.68        0.0000526
  164.05    6.45  -16.90        0.0001484
  126.61   45.14   44.34        0.0000121
 -111.92   70.92   68.96        0.0001148
   25.88   93.45   11.26        0.0000533
  -23.40   76.81   86.91        0.0001871
  106.78   30.55   70.16        0.0000179
  179.90   32.69   74.80        0.0000336
   -5.96   96.12   55.38        0.0001562
   -3.66   25.07   65.32        0.0000397
    0.77   24.16   42.76        0.0000386
   24.53   84.66   80.29        0.0000504
   78.73   65.40   14.53        0.0001001
  150.45   31.16   42.58        0.0000315
  143.06   37.70   37.76        0.0000116
  114.29   23.39  -14.79        0.0000860
  -65.13   80.95   17.08        0.0000246
    4.84   22.02   53.08        0.0000152
   21.30    7.97  117.62        0.0004974
 -111.19   78.18   68.71        0.0000185
  -46.18   76.12   14.68        0.0000119
 -173.42   12.12  123.42        0.0000418
  137.55   45.17   45.19        0.0004396
   93.08   33.44    0.29        0.0000610
   45.25   53.00   48.86        0.0005719
  167.58   24.71   33.29        0.0000152
  -85.10   58.50   82.88        0.0000261
  171.12   57.71   35.18        0.0001631
    9.66   10.33  105.61        0.0000533
  147.96   68.79   11.59        0.0000374
 -114.14   97.09   31.21        0.0001428
   -8.61   68.26   43.88        0.0001703
 -115.80   41.14   35.13        0.0001771
  173.04   69.22   69.22        0.0001091
 -164.54   15.35   43.86        0.0000126
  156.29   76.02   16.93        0.0000743
  147.67   77.85   15.82        0.0002821
  -75.67   66.16   47.16        0.0000100
   30.02   76.81    0.27        0.0002410
 -178.67   74.24   44.58        0.0000219
  -71.49   73.68   54.08        0.0000686
  173.62   29.26   42.35        0.0000720
  172.18   10.89   51.40        0.0002537
 -120.74    2.71   87.14        0.0000297
    0.09   61.93   56.43        0.0000186
   21.48   39.68   43.23        0.0004850
   10.64   89.88   22.27        0.0000852
 -176.75   64.06   61.98        0.0000288
  -12.64   65.08   32.22        0.0000495
   90.56   12.38   71.46        0.0001102
  -68.31   83.87   84.92        0.0000748
  -14.27   59.17   17.86        0.0000367
  -80.63   72.71   57.27        0.0000247
  151.35   35.59   37.62        0.0000133
  138.80   26.63   47.88        0.0000136
    1.69   25.04   35.54        0.0001268
   70.60   82.79   16.45        0.0000693
  -66.00   78.44   17.04        0.0000158
   82.00   61.23   23.14        0.0000167
 -104.57   56.64   22.91        0.0000433
  162.57    2.85   46.08        0.0000236
  104.19   57.37   76.91        0.0003651
 -168.87   61.37   53.40        0.0000831
   23.92   79.02   76.61        0.0000388
  123.10   71.09   16.20        0.0000850
    6.07   30.70  108.07        0.0000746
  146.94   85.15    3.34        0.0000305
   -3.45   43.39   49.87        0.0000445
  138.67   83.24   94.72        0.0000287
   34.48   77.08   79.52        0.0000179
 -162.64   55.47   59.20        0.0000074
 -105.65   37.82   23.84        0.0002407
   87.41   48.73   15.70        0.0001622
 -175.50    3.23   48.37        0.0000461
 -107.73   29.65   19.86        0.0000296
 -122.26   18.37   37.69        0.0000399
  160.70   57.48   29.36        0.0001095
  -93.03   11.77   72.34        0.0000740
   43.37   61.25   64.30        0.0000064
 -138.06   88.14   -1.12        0.0001121
  110.76   73.88   30.09        0.0000458
    6.58   60.60   41.58        0.0005294
   -1.70   24.58   33.14        0.0000656
 -100.27   64.64   26.37        0.0000148
  150.67   38.49   36.10        0.0000121
  132.03   74.55   18.05        0.0001141
   68.52   49.71   40.58        0.0001874
  -70.19   71.35   27.83        0.0000129
  -52.21   72.54   19.38        0.0000337
  116.34   36.53   58.34        0.0000176
  113.20   89.33   61.72        0.0001161
    6.22   67.69   54.35        0.0001423
 -121.15   62.36   65.32        0.0003927
   24.60   83.04   85.85        0.0000240
  179.84   32.49   14.45        0.0000296
  174.73   87.91   57.07        0.0001332
   97.01   48.38   80.08        0.0000225
   91.03   47.26   78.99        0.0001452
  175.74   62.37   28.50        0.0000142
 -111.50   72.59   61.90        0.0000070
   81.74   66.09   45.96        0.0000074
  -28.95   89.81   65.49        0.0004352
 -107.63   74.94   46.95        0.0000258
  -72.69   30.05   -9.15        0.0001790
 -109.80   79.36   59.21        0.0000273
    2.61   33.62   50.40        0.0000080
  136.72   86.36    3.81        0.0000748
  176.53   39.83   45.58        0.0001953
  -75.31   50.76   70.04        0.0000468
 -154.82   82.33   85.70        0.0000457
  118.45   49.55   51.16        0.0000258
  113.43   39.76   66.84        0.0001625
  143.23   69.47   13.93        0.0000295
  -80.26   37.15   78.12        0.0000168
   98.74   65.47   64.44        0.0000360
  -94.09   70.59   18.98        0.0000271
 -149.63   49.92   68.28        0.0000429
  -72.90   53.77   58.61        0.0000777
 -138.29   64.94   65.44        0.0000061
  116.30   23.20   56.23        0.0000439
 -144.05   80.91   -4.62        0.0002368
  103.35   85.92   69.63        0.0000346
 -170.25   71.06   59.14        0.0000338
  143.09    9.53   -5.54        0.0006403
   -2.40   12.05   21.03        0.0000428
 -140.13   35.50   62.05        0.0000768
   78.18   53.52   22.56        0.0000124
 -172.09   91.47   23.86        0.0000733
 -176.11   50.60   32.27        0.0000953
  -52.05   68.65   28.45        0.0000383
 -136.04   67.36   69.97        0.0000637
  -47.92   80.64   94.09        0.0005473
    1.08   52.48   47.14        0.0000276
   62.79   82.91    1.62        0.0000612
    0.64   51.59   50.52        0.0000083
  156.36   81.33   94.28        0.0000305
 -143.09   22.92   84.27        0.0003398
   84.09   61.16   52.45        0.0001179
   -6.81   24.18   43.89        0.0000086
   76.35   69.69   24.76        0.0000762
   93.62   51.20   77.99        0.0000592
  179.21   38.46   30.07        0.0000146
 -145.41   43.56   44.81        0.0001069
   61.06   63.26   55.50        0.0000061
 -173.82   48.15   57.46        0.0000218
 -144.54   69.34   74.48        0.0000506
    0.62   71.73   52.95        0.0000120
   58.52   80.78   20.56        0.0005522
  -96.83   70.34    7.23        0.0000303
 -121.57   50.30   46.23        0.0002306
   23.02   92.37   10.60        0.0000354
 -131.97   65.37   56.84        0.0001179
  109.43   82.73   13.56        0.0000444
   69.33   74.59   72.45        0.0000128
  -17.48   72.06   16.05        0.0000326
   92.38   68.36   49.85        0.0000175
  165.88   64.95   70.31        0.0005152
  -45.59   93.86   77.94        0.0006049
  177.17   68.04   65.30        0.0000732
  -21.59   66.24   25.52        0.0000129
 -102.51   36.99   60.96        0.0005456
    6.40   34.51   57.01        0.0000072
  -23.20   47.07   25.25        0.0000316
  115.99  100.61   55.15        0.0001001
  -24.51   74.29    8.85        0.0000475
 -137.46   60.19   67.52        0.0001530
 -161.23   60.08   -3.38        0.0000447
  132.56   31.75   47.21        0.0000144
  -16.68   59.13   27.84        0.0000062
  102.10   73.13   26.90        0.0000337
  -58.23  102.76   63.72        0.0003228
  -16.70   14.69   47.95        0.0000133
 -118.20   65.63   48.87        0.0000561
  -61.88   26.63   51.16        0.0001199
  153.80   47.47   35.39        0.0001905
 -142.43   82.03   -3.38        0.0004062
 -178.67   77.09   34.46        0.0000380
   62.00   40.76   33.54        0.0000185
